date,geography,geography code,Rural Urban,Household Spaces: All categories: Household spaces; measures: Value,Household Spaces: Household spaces with at least one usual resident; measures: Value,Household Spaces: Household spaces with no usual residents; measures: Value
2011,B79  8,B79  8,Total,4556,4477,79
2011,B79  9,B79  9,Total,948,887,61
2011,B8   1,B8   1,Total,2893,2770,123
2011,B8   2,B8   2,Total,4963,4768,195
2011,B8   3,B8   3,Total,4522,4347,175
2011,B80  7,B80  7,Total,3106,2983,123
2011,B9   4,B9   4,Total,1588,1556,32
2011,B9   5,B9   5,Total,6113,5951,162
2011,B90  1,B90  1,Total,4811,4637,174
2011,B90  2,B90  2,Total,5379,5272,107
2011,B90  3,B90  3,Total,4357,4247,110
2011,B90  4,B90  4,Total,4766,4677,89
2011,B91  1,B91  1,Total,4402,4237,165
2011,B91  2,B91  2,Total,5208,5015,193
2011,B91  3,B91  3,Total,4334,4213,121
2011,B92  0,B92  0,Total,1732,1683,49
2011,B92  7,B92  7,Total,5449,5274,175
2011,B92  8,B92  8,Total,5406,5273,133
2011,B92  9,B92  9,Total,3545,3478,67
2011,B93  0,B93  0,Total,1636,1588,48
2011,B93  8,B93  8,Total,3143,3068,75
2011,B93  9,B93  9,Total,3433,3364,69
2011,B94  5,B94  5,Total,1660,1553,107
2011,B94  6,B94  6,Total,1476,1440,36
2011,B95  5,B95  5,Total,1914,1812,102
2011,B95  6,B95  6,Total,886,824,62
2011,B96  6,B96  6,Total,2325,2215,110
2011,B97  4,B97  4,Total,2547,2453,94
2011,B97  5,B97  5,Total,7155,7009,146
2011,B97  6,B97  6,Total,4234,4162,72
2011,B98  0,B98  0,Total,6039,5959,80
2011,B98  7,B98  7,Total,7995,7828,167
2011,B98  8,B98  8,Total,3965,3872,93
2011,B98  9,B98  9,Total,2717,2668,49
2011,BA1  1,BA1  1,Total,1072,931,141
2011,BA1  2,BA1  2,Total,3896,3586,310
2011,BA1  3,BA1  3,Total,3235,3121,114
2011,BA1  4,BA1  4,Total,2394,2307,87
2011,BA1  5,BA1  5,Total,2274,2146,128
2011,BA1  6,BA1  6,Total,4027,3864,163
2011,BA1  7,BA1  7,Total,2422,2340,82
2011,BA1  8,BA1  8,Total,384,373,11
2011,BA1  9,BA1  9,Total,105,98,7
2011,BA10 0,BA10 0,Total,1474,1379,95
2011,BA11 1,BA11 1,Total,2450,2219,231
2011,BA11 2,BA11 2,Total,4826,4664,162
2011,BA11 3,BA11 3,Total,2199,2071,128
2011,BA11 4,BA11 4,Total,2817,2693,124
2011,BA11 5,BA11 5,Total,1500,1374,126
2011,BA11 6,BA11 6,Total,844,803,41
2011,BA12 0,BA12 0,Total,2542,2327,215
2011,BA12 6,BA12 6,Total,2057,1940,117
2011,BA12 7,BA12 7,Total,1428,1337,91
2011,BA12 8,BA12 8,Total,4140,3905,235
2011,BA12 9,BA12 9,Total,3068,2930,138
2011,BA13 2,BA13 2,Total,458,452,6
2011,BA13 3,BA13 3,Total,5641,5490,151
2011,BA13 4,BA13 4,Total,2619,2522,97
2011,BA14 0,BA14 0,Total,5356,5275,81
2011,BA14 6,BA14 6,Total,2599,2524,75
2011,BA14 7,BA14 7,Total,6296,6121,175
2011,BA14 8,BA14 8,Total,2819,2673,146
2011,BA14 9,BA14 9,Total,3536,3466,70
2011,BA15 1,BA15 1,Total,4354,4197,157
2011,BA15 2,BA15 2,Total,1726,1670,56
2011,BA16 0,BA16 0,Total,4333,4157,176
2011,BA16 9,BA16 9,Total,1136,1110,26
2011,BA2  0,BA2  0,Total,2016,1953,63
2011,BA2  1,BA2  1,Total,5451,5346,105
2011,BA2  2,BA2  2,Total,4425,4365,60
2011,BA2  3,BA2  3,Total,3358,3284,74
2011,BA2  4,BA2  4,Total,2905,2710,195
2011,BA2  5,BA2  5,Total,3199,3102,97
2011,BA2  6,BA2  6,Total,3052,2866,186
2011,BA2  7,BA2  7,Total,2231,2063,168
2011,BA2  8,BA2  8,Total,3197,3118,79
2011,BA2  9,BA2  9,Total,687,649,38
2011,BA20 1,BA20 1,Total,1305,1140,165
2011,BA20 2,BA20 2,Total,3777,3641,136
2011,BA21 3,BA21 3,Total,6506,6345,161
2011,BA21 4,BA21 4,Total,4079,3867,212
2011,BA21 5,BA21 5,Total,4318,4129,189
2011,BA22 7,BA22 7,Total,1747,1626,121
2011,BA22 8,BA22 8,Total,3413,3251,162
2011,BA22 9,BA22 9,Total,2496,2373,123
2011,BA3  2,BA3  2,Total,4233,4125,108
2011,BA3  3,BA3  3,Total,4293,4192,101
2011,BA3  4,BA3  4,Total,2952,2840,112
2011,BA3  5,BA3  5,Total,2973,2834,139
2011,BA4  4,BA4  4,Total,2126,2037,89
2011,BA4  5,BA4  5,Total,3730,3556,174
2011,BA4  6,BA4  6,Total,1968,1851,117
2011,BA5  1,BA5  1,Total,2803,2633,170
2011,BA5  2,BA5  2,Total,3553,3372,181
2011,BA5  3,BA5  3,Total,1919,1825,94
2011,BA6  8,BA6  8,Total,2935,2757,178
2011,BA6  9,BA6  9,Total,3100,2889,211
2011,BA7  7,BA7  7,Total,1725,1603,122
2011,BA8  0,BA8  0,Total,1953,1791,162
2011,BA9  8,BA9  8,Total,700,636,64
2011,BA9  9,BA9  9,Total,2730,2555,175
2011,BB1  1,BB1  1,Total,4131,3983,148
2011,BB1  2,BB1  2,Total,3791,3675,116
2011,BB1  3,BB1  3,Total,1236,1191,45
2011,BB1  4,BB1  4,Total,3065,2912,153
2011,BB1  5,BB1  5,Total,2918,2785,133
2011,BB1  6,BB1  6,Total,968,905,63
2011,BB1  7,BB1  7,Total,1276,1195,81
2011,BB1  8,BB1  8,Total,3465,3304,161
2011,BB1  9,BB1  9,Total,4347,4166,181
2011,BB10 1,BB10 1,Total,3843,3347,496
2011,BB10 2,BB10 2,Total,4356,4234,122
2011,BB10 3,BB10 3,Total,3581,3345,236
2011,BB10 4,BB10 4,Total,5052,4881,171
2011,BB11 2,BB11 2,Total,2247,2102,145
2011,BB11 3,BB11 3,Total,2124,1953,171
2011,BB11 4,BB11 4,Total,2993,2729,264
2011,BB11 5,BB11 5,Total,3114,3001,113
2011,BB12 0,BB12 0,Total,3284,3103,181
2011,BB12 6,BB12 6,Total,4038,3853,185
2011,BB12 7,BB12 7,Total,3245,3091,154
2011,BB12 8,BB12 8,Total,3810,3580,230
2011,BB12 9,BB12 9,Total,1314,1298,16
2011,BB18 5,BB18 5,Total,3634,3423,211
2011,BB18 6,BB18 6,Total,4341,4120,221
2011,BB2  1,BB2  1,Total,2514,2369,145
2011,BB2  2,BB2  2,Total,2112,2029,83
2011,BB2  3,BB2  3,Total,4287,4175,112
2011,BB2  4,BB2  4,Total,6417,6332,85
2011,BB2  5,BB2  5,Total,3025,2989,36
2011,BB2  6,BB2  6,Total,3649,3365,284
2011,BB2  7,BB2  7,Total,2961,2859,102
2011,BB3  0,BB3  0,Total,3949,3869,80
2011,BB3  1,BB3  1,Total,2941,2835,106
2011,BB3  2,BB3  2,Total,4343,4138,205
2011,BB3  3,BB3  3,Total,4378,4102,276
2011,BB4  4,BB4  4,Total,3243,3112,131
2011,BB4  5,BB4  5,Total,2677,2507,170
2011,BB4  6,BB4  6,Total,3487,3330,157
2011,BB4  7,BB4  7,Total,2709,2542,167
2011,BB4  8,BB4  8,Total,3739,3534,205
2011,BB4  9,BB4  9,Total,2616,2472,144
2011,BB5  0,BB5  0,Total,3712,3505,207
2011,BB5  1,BB5  1,Total,2047,1878,169
2011,BB5  2,BB5  2,Total,3643,3370,273
2011,BB5  3,BB5  3,Total,3811,3650,161
2011,BB5  4,BB5  4,Total,3944,3845,99
2011,BB5  5,BB5  5,Total,5039,4850,189
2011,BB5  6,BB5  6,Total,4712,4591,121
2011,BB6  7,BB6  7,Total,5058,4788,270
2011,BB6  8,BB6  8,Total,1533,1485,48
2011,BB7  1,BB7  1,Total,3592,3448,144
2011,BB7  2,BB7  2,Total,3203,3111,92
2011,BB7  3,BB7  3,Total,1400,1304,96
2011,BB7  4,BB7  4,Total,2234,2120,114
2011,BB7  9,BB7  9,Total,3653,3547,106
2011,BB8  0,BB8  0,Total,3018,2841,177
2011,BB8  7,BB8  7,Total,2143,2046,97
2011,BB8  8,BB8  8,Total,2300,2196,104
2011,BB8  9,BB8  9,Total,3387,3217,170
2011,BB9  0,BB9  0,Total,5019,4703,316
2011,BB9  5,BB9  5,Total,2575,2434,141
2011,BB9  6,BB9  6,Total,2145,2100,45
2011,BB9  7,BB9  7,Total,2258,2145,113
2011,BB9  8,BB9  8,Total,3668,3554,114
2011,BB9  9,BB9  9,Total,2996,2693,303
2011,BD1  1,BD1  1,Total,263,241,22
2011,BD1  2,BD1  2,Total,326,235,91
2011,BD1  3,BD1  3,Total,463,438,25
2011,BD1  4,BD1  4,Total,462,454,8
2011,BD1  5,BD1  5,Total,509,475,34
2011,BD10 0,BD10 0,Total,3796,3713,83
2011,BD10 8,BD10 8,Total,4338,4223,115
2011,BD10 9,BD10 9,Total,2989,2927,62
2011,BD11 1,BD11 1,Total,2463,2386,77
2011,BD11 2,BD11 2,Total,2590,2482,108
2011,BD12 0,BD12 0,Total,2416,2349,67
2011,BD12 7,BD12 7,Total,877,830,47
2011,BD12 8,BD12 8,Total,2178,2093,85
2011,BD12 9,BD12 9,Total,2105,2033,72
2011,BD13 1,BD13 1,Total,1735,1671,64
2011,BD13 2,BD13 2,Total,3265,3158,107
2011,BD13 3,BD13 3,Total,3086,2910,176
2011,BD13 4,BD13 4,Total,1561,1481,80
2011,BD13 5,BD13 5,Total,1369,1297,72
2011,BD14 6,BD14 6,Total,3482,3391,91
2011,BD15 0,BD15 0,Total,1851,1795,56
2011,BD15 7,BD15 7,Total,3325,3129,196
2011,BD15 9,BD15 9,Total,1260,1228,32
2011,BD16 1,BD16 1,Total,4450,4234,216
2011,BD16 2,BD16 2,Total,1773,1710,63
2011,BD16 3,BD16 3,Total,2426,2368,58
2011,BD16 4,BD16 4,Total,3291,3159,132
2011,BD17 5,BD17 5,Total,3735,3566,169
2011,BD17 6,BD17 6,Total,2826,2750,76
2011,BD17 7,BD17 7,Total,1935,1791,144
2011,BD18 1,BD18 1,Total,2975,2899,76
2011,BD18 2,BD18 2,Total,3009,2884,125
2011,BD18 3,BD18 3,Total,2497,2336,161
2011,BD18 4,BD18 4,Total,3490,3343,147
2011,BD19 3,BD19 3,Total,2911,2735,176
2011,BD19 4,BD19 4,Total,4160,3999,161
2011,BD19 5,BD19 5,Total,1229,1169,60
2011,BD19 6,BD19 6,Total,1779,1727,52
2011,BD2  1,BD2  1,Total,3211,3137,74
2011,BD2  2,BD2  2,Total,2176,2125,51
2011,BD2  3,BD2  3,Total,3237,3186,51
2011,BD2  4,BD2  4,Total,2903,2856,47
2011,BD20 0,BD20 0,Total,2867,2740,127
2011,BD20 5,BD20 5,Total,3109,3020,89
2011,BD20 6,BD20 6,Total,3022,2882,140
2011,BD20 7,BD20 7,Total,2201,2089,112
